global_step,epoch,lr,train_loss,val_loss
323,0,0.0002999715447943749,1.60543883,
324,0,0.00029997108024219457,1.57589042,
325,0,0.00029997061192894365,1.60303783,
326,0,0.0002999701398546338,1.57462025,
327,0,0.0002999696640192768,1.56155384,
328,0,0.00029996918442288476,1.54719281,
329,0,0.0002999687010654696,1.58732069,
330,0,0.00029996821394704336,1.57917380,
331,0,0.00029996772306761847,1.56916559,
332,0,0.00029996722842720705,1.50905228,
333,0,0.00029996673002582157,1.49199772,
334,0,0.00029996622786347454,1.47754467,
335,0,0.0002999657219401785,1.61286831,
336,0,0.00029996521225594624,1.54136419,
337,0,0.0002999646988107905,1.51813626,
338,0,0.0002999641816047241,1.44727397,
339,0,0.0002999636606377601,1.52038312,
340,0,0.00029996313590991146,1.58558547,
341,0,0.0002999626074211914,1.40746939,
342,0,0.0002999620751716132,1.49400389,
343,0,0.00029996153916119015,1.50381434,
344,0,0.0002999609993899357,1.52720940,
345,0,0.00029996045585786344,1.48267460,
346,0,0.000299959908564987,1.51066816,
347,0,0.00029995935751132,1.44305265,
348,0,0.0002999588026968764,1.44082105,
349,0,0.00029995824412167005,1.39144456,
350,0,0.0002999576817857149,1.50924098,
351,0,0.0002999571156890251,1.45737958,
352,0,0.0002999565458316149,1.42774701,
353,0,0.00029995597221349853,1.49928486,
354,0,0.0002999553948346904,1.36741304,
355,0,0.00029995481369520503,1.44034398,
356,0,0.00029995422879505686,1.50972784,
357,0,0.00029995364013426064,1.47783089,
358,0,0.00029995304771283124,1.45933938,
359,0,0.00029995245153078333,1.40198255,
360,0,0.00029995185158813195,1.46018910,
361,0,0.00029995124788489215,1.40407419,
362,0,0.00029995064042107907,1.33249807,
363,0,0.000299950029196708,1.37618923,
364,0,0.0002999494142117941,1.35649180,
365,0,0.0002999487954663529,1.48038554,
366,0,0.0002999481729604,1.41763175,
367,0,0.00029994754669395086,1.42372227,
368,0,0.00029994691666702125,1.40338206,
369,0,0.000299946282879627,1.47084320,
370,0,0.00029994564533178397,1.37678218,
371,0,0.0002999450040235081,1.45973742,
372,0,0.00029994435895481565,1.41732407,
373,0,0.0002999437101257226,1.41487288,
374,0,0.0002999430575362453,1.40031838,
375,0,0.0002999424011864001,1.37602198,
376,0,0.0002999417410762035,1.37232602,
377,0,0.00029994107720567205,1.37486124,
378,0,0.00029994040957482236,1.37664485,
379,0,0.0002999397381836712,1.35880291,
380,0,0.00029993906303223534,1.37802815,
381,0,0.00029993838412053185,1.33678865,
382,0,0.0002999377014485777,1.36326849,
383,0,0.0002999370150163899,1.34128702,
384,0,0.00029993632482398574,1.38954890,
385,0,0.0002999356308713826,1.35864747,
386,0,0.0002999349331585978,1.30925977,
387,0,0.0002999342316856489,1.36238265,
388,0,0.00029993352645255343,1.38744211,
389,0,0.0002999328174593291,1.37348044,
390,0,0.00029993210470599365,1.31108987,
391,0,0.0002999313881925651,1.31647599,
392,0,0.0002999306679190612,1.20990276,
393,0,0.0002999299438855002,1.34904993,
394,0,0.0002999292160919002,1.35214627,
395,0,0.0002999284845382794,1.33394110,
396,0,0.0002999277492246562,1.32382047,
397,0,0.000299927010151049,1.29491186,
398,0,0.00029992626731747637,1.29692328,
399,0,0.00029992552072395694,1.29246640,
400,0,0.00029992477037050943,1.34693515,
400,0,0.00029992477037050943,,1.89111963
401,0,0.00029992401625715266,1.32502007,
402,0,0.0002999232583839055,1.26438451,
403,0,0.000299922496750787,1.34893024,
404,0,0.00029992173135781624,1.28079665,
405,0,0.00029992096220501246,1.29582131,
406,0,0.0002999201892923949,1.25876534,
407,0,0.00029991941261998294,1.30075717,
